source,aim,w
6.0,70.0,0.03676073110469039
6.0,71.0,0.00957167909875708
6.0,73.0,0.012253577034896795
6.0,74.0,0.025217653493034467
6.0,75.0,0.05043530698606893
6.0,76.0,0.009653840941344685
6.0,77.0,0.012798443803844426
6.0,78.0,0.03626056179729389
6.0,79.0,0.025993762245501813
6.0,83.0,0.0264096888511319
6.0,85.0,0.040269363312841464
6.0,86.0,0.05369248441712195
6.0,88.0,0.013894250359418207
6.0,89.0,0.025217653493034467
6.0,91.0,0.028298423998533925
6.0,95.0,0.04325623505463543
6.0,96.0,0.028298423998533925
6.0,97.0,0.012086853932431295
6.0,98.0,0.0819155567294538
6.0,99.0,0.014418745018211809
6.0,105.0,0.012996881122750908
7.0,8.0,0.034150052596813175
7.0,9.0,0.038625527717487285
7.0,10.0,0.02465073033326986
7.0,11.0,0.006429572026566925
7.0,12.0,0.01124398706292892
7.0,13.0,0.006783494582998754
7.0,14.0,0.017231351096078137
7.0,15.0,0.003758230140014144
7.0,17.0,0.06420549514533462
7.0,19.0,0.025757582687022787
7.0,20.0,0.020998894306081782
7.0,23.0,0.0037819416064025523
7.0,24.0,0.009460469093616657
7.0,25.0,0.017243942512516184
7.0,27.0,0.0037819416064025523
7.0,29.0,0.0032345694985532326
7.0,30.0,0.0034670845911178145
7.0,32.0,0.013241452366835285
7.0,33.0,0.04897603492755105
7.0,34.0,0.03202060437304626
7.0,35.0,0.06126753316034333
7.0,36.0,0.04855199201172937
7.0,37.0,0.008275350410322683
7.0,38.0,0.028812541947977763
7.0,40.0,0.04538329927683063
7.0,41.0,0.0041376752051613406
7.0,43.0,0.1990471427664659
7.0,44.0,0.008035434036903079
7.0,45.0,0.12708873027892076
7.0,47.0,0.00490319805065359
7.0,50.0,0.004802090324662959
7.0,51.0,0.004956207137705683
7.0,52.0,0.030405578922032963
7.0,53.0,0.030405578922032963
7.0,55.0,0.010252366727667885
7.0,56.0,0.02050473345533577
7.0,58.0,0.008538125135380147
7.0,59.0,0.00518685036741231
7.0,66.0,0.0055262115042641145
7.0,73.0,0.011204877424213572
7.0,75.0,0.011529723749687198
7.0,76.0,0.008827634911223523
7.0,77.0,0.011703112783668096
7.0,81.0,0.018112098545539832
7.0,82.0,0.012074732363693223
7.0,83.0,0.04226156327292628
7.0,87.0,0.006037366181846611
7.0,88.0,0.09528852579245707
7.0,91.0,0.006469138997106465
7.0,95.0,0.013184743530803138
7.0,100.0,0.006592371765401569
7.0,101.0,0.006137164119322155
7.0,102.0,0.006592371765401569
7.0,103.0,0.006722926454528144
7.0,104.0,0.05273897412321255
8.0,9.0,0.051883176256519684
8.0,10.0,0.2528532389520093
8.0,11.0,0.03022750068345768
8.0,12.0,0.028318727782772075
8.0,14.0,0.017359320614234074
8.0,16.0,0.03253574116367824
8.0,17.0,0.1124909922929035
8.0,18.0,0.0380601572166848
8.0,19.0,0.012974436352046743
8.0,20.0,0.00528871091957865
8.0,21.0,0.08209939587609869
8.0,22.0,0.014868347496194813
8.0,23.0,0.01524011356365335
8.0,24.0,0.019061455511114524
8.0,25.0,0.09033442881567563
8.0,26.0,0.006876791960130463
8.0,27.0,0.022860170345480026
