tag,count,Cumulative word frequency,
create react app,8,14086,64.73%
3dprinting,8,14094,64.77%
search engine,8,14102,64.80%
delivery,8,14110,64.84%
infectious disease models,8,14118,64.88%
flutter examples,8,14126,64.91%
nigeria,8,14134,64.95%
npm,8,14142,64.99%
folium,8,14150,65.02%
bluetooth low energy,8,14158,65.06%
contact tracing app,8,14166,65.10%
esp32,7,14173,65.13%
data mining,7,14187,65.19%
trend,7,14194,65.23%
shiny apps,7,14201,65.26%
scrapy,7,14208,65.29%
seaborn,7,14215,65.32%
spread,7,14222,65.36%
graphs4good,7,14229,65.39%
kubernetes,7,14236,65.42%
gis,7,14243,65.45%
rails,7,14250,65.48%
covid19 france,7,14257,65.52%
terminal,7,14264,65.55%
scikit learn,7,14271,65.58%
blockchain,7,14278,65.61%
ml,7,14285,65.64%
3d,7,14292,65.68%
pwa app,7,14299,65.71%
reports,7,14306,65.74%
patient,7,14313,65.77%
x ray,7,14320,65.81%
rest,7,14327,65.84%
sklearn,7,14334,65.87%
question answering,7,14341,65.90%
recharts,7,14348,65.93%
social,7,14355,65.97%
windows,7,14362,66.00%
react chartjs 2,7,14369,66.03%
government,7,14376,66.06%
sri lanka,7,14383,66.10%
diy,7,14390,66.13%
respirator,7,14397,66.16%
disease modeling,7,14404,66.19%
greece,7,14411,66.22%
whole foods,7,14418,66.26%
grocery delivery,7,14425,66.29%
tableau,7,14432,66.32%
mapbox gl js,7,14439,66.35%
animation,7,14446,66.38%
social distancing detection,7,14453,66.42%
mask detection,7,14460,66.45%
markdown,6,14466,66.48%
hardware,6,14472,66.50%
iot,6,14478,66.53%
geopandas,6,14484,66.56%
japan,6,14490,66.59%
mapboxgl,6,14496,66.61%
remote work,6,14502,66.64%
face recognition,6,14508,66.67%
transformers,6,14514,66.70%
interactive,6,14520,66.72%
open source covid,6,14526,66.75%
cases,6,14532,66.78%
linear regression,6,14538,66.81%
webgl,6,14544,66.84%
d3 visualization,6,14550,66.86%
information retrieval,6,14556,66.89%
java 8,6,14562,66.92%
documentation,6,14568,66.95%
grafana,6,14574,66.97%
rxjava2,6,14580,67.00%
england,6,14586,67.03%
2019 ncov data,6,14592,67.06%
bash,6,14598,67.08%
shell script,6,14604,67.11%
covid 19 chile,6,14610,67.14%
covid 19 colombia,6,14616,67.17%
corona india,6,14622,67.19%
covid 19 japan,6,14628,67.22%
powerbi,6,14634,67.25%
react redux,6,14640,67.28%
lambda,6,14646,67.30%
aws lambda,6,14652,67.33%
twitter sentiment analysis,6,14658,67.36%
mapping,6,14664,67.39%
list,6,14670,67.41%
zeit,6,14676,67.44%
coronavirus prediction,6,14682,67.47%
jamstack,6,14688,67.50%
radiology,6,14694,67.52%
cnn classification,6,14700,67.55%
covid 19 mx,6,14706,67.58%
new zealand,6,14712,67.61%
lockdown,6,14718,67.63%
search,6,14724,67.66%
svelte,6,14730,67.69%
ppe,6,14736,67.72%
covid net,6,14742,67.75%
cnn keras,6,14748,67.77%
command line tool,6,14754,67.80%
contact tracer,6,14760,67.83%
epidemiology analysis,6,14766,67.86%
stay home,6,14772,67.88%
social media,6,14778,67.91%
philippines,6,14784,67.94%
covid 19 nepal,6,14790,67.97%
spark,6,14796,67.99%
webscraper,6,14802,68.02%
mobility,6,14808,68.05%
covid 19 greece,6,14814,68.08%
image processing,6,14820,68.10%
heroku deployment,6,14826,68.13%
nepal,6,14832,68.16%
react bootstrap,6,14838,68.19%
tkinter gui,6,14844,68.21%
nlp machine learning,5,14849,68.24%
interactive visualizations,5,14854,68.26%
yolo,5,14859,68.28%
object detection,5,14864,68.31%
tutorial,5,14869,68.33%
pipeline,5,14874,68.35%
usa,5,14879,68.37%
europe,5,14884,68.40%
awesome coronavirus,5,14889,68.42%
korea,5,14894,68.44%
data cleaning,5,14899,68.47%
julia,5,14904,68.49%
chrome,5,14909,68.51%
switzerland,5,14914,68.54%
geospatial,5,14919,68.56%
vega lite,5,14924,68.58%
koin,5,14929,68.60%
prevention,5,14934,68.63%
confirmed cases,5,14939,68.65%
airflow,5,14944,68.67%
kibana,5,14949,68.70%
coronavirus cases,5,14954,68.72%
clean architecture,5,14959,68.74%
medicine,5,14964,68.77%
neo4j,5,14969,68.79%
sms,5,14974,68.81%
covid 19 czechia,5,14979,68.83%
csv files,5,14984,68.86%
south africa,5,14989,68.88%
uk,5,14994,68.90%
postgres,5,14999,68.93%
selenium webdriver,5,15004,68.95%
volunteer management,5,15009,68.97%
mit,5,15014,68.99%
crisis management,5,15019,69.02%
momentjs,5,15024,69.04%
covid 19 prediction,5,15029,69.06%
flask restful,5,15034,69.09%
developer,5,15039,69.11%
xamarin forms,5,15044,69.13%
learning,5,15049,69.16%
free,5,15054,69.18%
algeria,5,15059,69.20%
africa,5,15064,69.22%
shinydashboard,5,15069,69.25%
confinement,5,15074,69.27%
rstudio,5,15079,69.29%
code for america,5,15084,69.32%
amcharts,5,15089,69.34%
colaboratory,5,15094,69.36%
papers,5,15099,69.39%
segmentation,5,15104,69.41%
coronavirus detect,5,15109,69.43%
govuk service,5,15114,69.45%
scipy,5,15119,69.48%
responsive design,5,15124,69.50%
github,5,15129,69.52%
toolkit,5,15134,69.55%
highcharts,5,15139,69.57%
lstm neural networks,5,15144,69.59%
algorithms,5,15149,69.62%
api client,5,15154,69.64%
google maps,5,15159,69.66%
esp8266,5,15164,69.68%
android development,5,15169,69.71%
plyer,5,15174,69.73%
web development,5,15179,69.75%
ejs,5,15184,69.78%
topic modeling,5,15189,69.80%
google maps api,5,15194,69.82%
students,5,15199,69.85%
command line,5,15204,69.87%
nhs,5,15209,69.89%
es6,5,15214,69.91%
react navigation,5,15219,69.94%
delivery slots,5,15224,69.96%
amazon fresh,5,15229,69.98%
argentina,5,15234,70.01%
mobile development,5,15239,70.03%
ibm watson,5,15244,70.05%
beacon,5,15249,70.07%
